ProductID,ProductName,Category,Price,Rating,NumReviews,StockQuantity,Discount,Sales,DateAdded,City,Stock In Vast or Limited Quantity,RevenueNet
1,Headphones,Electronics,400.31,1.7,3772,20,0.08,466,11/10/2023,Albuquerque,True,171620.9032
2,Headphones,Electronics,235.03,2.3,2919,663,0.33,1332,9/28/2023,Queens,True,209750.17319999996
3,Smartwatch,Electronics,417.9,1.8,1184,459,0.31,252,10/20/2023,Austin,True,72664.45199999999
4,Smartphone,Electronics,152.7,3.4,2047,475,0.49,1806,12/5/2023,Dallas,True,140645.862
5,Laptop,Electronics,394.74,1.8,1267,831,0.23,1508,8/10/2023,Tucson,True,458356.2984000001
6,Headphones,Electronics,93.56,1.3,2435,600,0.48,241,9/21/2023,Louisville,True,11724.9392
7,Laptop,Electronics,57.86,3.7,1478,427,0.25,1966,5/8/2024,Cleveland,True,85314.56999999999
8,Laptop,Electronics,201.62,1.7,3073,389,0.1,1795,8/7/2023,Houston,True,325717.11
9,Smartphone,Electronics,485.1,4.1,161,201,0.45,269,6/27/2023,Cape Coral,True,71770.545
10,Smartwatch,Electronics,170.0,3.3,1275,701,0.16,719,10/19/2023,Minneapolis,True,102673.19999999998
11,Laptop,Electronics,274.45,3.3,4859,187,0.27,1064,1/7/2024,Memphis,False,213170.80399999997
12,Headphones,Electronics,90.98,1.1,2568,343,0.2,647,4/10/2024,Mesa,False,47091.24800000001
13,Headphones,Electronics,107.43,3.8,4514,288,0.3,1513,10/25/2023,Palm Bay,False,113779.11299999998
14,Laptop,Electronics,66.78,4.5,4875,929,0.05,502,4/11/2024,Columbia,False,31847.381999999998
15,Smartwatch,Electronics,336.3,3.4,2773,986,0.28,1762,3/3/2024,Seattle,False,426643.632
16,Headphones,Electronics,359.49,4.0,502,766,0.13,794,11/18/2023,Hartford,False,248328.50220000002
17,Headphones,Electronics,64.34,2.8,863,742,0.24,1020,3/8/2024,Palm Bay,False,49876.368
18,Smartwatch,Electronics,454.71,2.0,1678,170,0.1,524,1/4/2024,Charlotte,False,214441.23599999998
19,Headphones,Electronics,151.98,1.6,2625,681,0.4,1976,1/30/2024,Charlotte,False,180187.48799999998
20,Smartwatch,Electronics,403.8,1.7,1981,330,0.16,1371,10/25/2023,Akron,False,465032.232
21,Laptop,Electronics,63.93,1.9,4029,632,0.41,1768,9/27/2023,San Francisco,False,66686.6616
22,Headphones,Electronics,90.68,3.1,4413,676,0.35,1257,12/23/2023,Austin,False,74090.09400000001
23,Smartwatch,Electronics,472.03,2.3,1495,232,0.2,1853,4/21/2024,Cincinnati,True,699737.272
24,Smartwatch,Electronics,133.37,3.0,1636,624,0.5,698,2/20/2024,Spokane,True,46546.130000000005
25,Laptop,Electronics,256.31,1.2,3474,637,0.07,1707,11/7/2023,New York,True,406894.68809999997
26,Smartwatch,Electronics,280.92,3.4,3510,202,0.18,400,10/1/2023,Indianapolis,True,92141.76000000001
27,Laptop,Electronics,190.21,3.5,197,981,0.27,751,1/20/2024,Virginia Beach,True,104278.8283
28,Smartphone,Electronics,83.85,3.0,2511,348,0.43,763,7/2/2023,Baltimore,True,36467.203499999996
29,Headphones,Electronics,406.66,2.4,1734,819,0.47,1959,2/5/2024,Providence,True,422222.87820000004
30,Headphones,Electronics,469.0,1.6,4061,297,0.13,1787,1/20/2024,Buffalo,False,729149.61
31,Laptop,Electronics,491.26,3.1,4976,1,0.5,253,1/24/2024,San Antonio,False,62144.39
32,Smartphone,Electronics,451.2,3.5,2056,232,0.17,815,11/17/2023,Bronx,False,305214.24
33,Headphones,Electronics,429.6,2.6,1696,919,0.43,1648,2/29/2024,Buffalo,False,403549.0560000001
34,Smartwatch,Electronics,294.54,2.5,98,152,0.0,1919,7/10/2023,Tulsa,False,565222.26
35,Laptop,Electronics,349.03,3.6,4067,160,0.01,397,9/9/2023,Toledo,True,137179.2609
36,Smartwatch,Electronics,375.78,3.6,1218,400,0.15,687,5/21/2024,Seattle,True,219436.73099999997
37,Laptop,Electronics,299.04,4.9,562,437,0.45,26,10/30/2023,Virginia Beach,True,4276.272000000001
38,Smartphone,Electronics,256.29,3.3,959,480,0.1,1852,8/13/2023,Charlotte,True,427184.1720000001
39,Headphones,Electronics,290.28,4.1,16,171,0.47,476,4/27/2024,New York,True,73231.8384
